Character,Radical,CharFreq,Radicals,ChatGPT_Token_IDs
由,田,320.1531,['田'],"[18796, 109]"
校,木,205.9259,['木'],"[43718, 94]"
陵,阝,35.7531,"['邑', '阜', '阝']","[165, 247, 113]"
张,弓,605.4963,['弓'],"[28156, 254]"
襁,衤,0.2321,"['衣', '衤']","[164, 98, 223]"
屈,尸,45.9753,['尸'],"[161, 109, 230]"
办,力,385.7975,['力'],"[27950, 252]"
快,忄,2704.5284,"['心', '忄']","[33232, 104]"
罩,罒,23.4025,"['罒', '网']","[163, 121, 102]"
坟,土,12.8889,['土'],"[161, 251, 253]"
孤,子,128.8938,['子'],"[27764, 97]"
咏,口,6.3111,"['囗', '口']","[161, 240, 237]"
韵,音,13.4519,['音'],"[165, 253, 113]"
套,大,362.9086,['大'],"[25001, 245]"
运,辶,647.1951,['辶'],"[32573, 238]"
担,扌,185.284,"['扌', '手']","[162, 233, 227]"
妇,女,113.1012,['女'],"[36685, 229]"
石,石,206.1531,['石'],"[163, 253, 111]"
腓,月,0.8099,['月'],"[164, 227, 241]"
着,羊,2337.837,['羊'],"[163, 251, 222]"
除,阝,321.7086,"['邑', '阜', '阝']","[165, 247, 97]"
钩,钅,8.4938,"['钅', '金']","[165, 240, 102]"
援,扌,55.1605,"['扌', '手']","[162, 237, 112]"
肿,月,84.2963,['月'],"[164, 224, 123]"
荧,艹,5.3926,['艹'],"[164, 235, 100]"
给,纟,2437.7778,"['糸', '纟']","[163, 119, 247]"
忧,忄,63.1951,"['心', '忄']","[33232, 100]"
专,一,252.321,['一'],"[10310, 241]"
爵,爫,19.2049,['爫'],"[163, 230, 113]"
溪,氵,16.0346,"['氺', '水', '氵']","[162, 118, 103]"
缔,纟,1.6099,"['糸', '纟']","[163, 120, 242]"
怕,忄,382.0099,"['心', '忄']","[45250, 243]"
负,贝,129.8815,"['貝', '贝']","[164, 112, 253]"
础,石,15.4025,['石'],"[163, 94, 222]"
咕,口,12.1284,"['囗', '口']","[161, 240, 243]"
吃,口,1526.8444,"['囗', '口']","[28938, 225]"
鲜,鱼,222.2716,"['鱼', '魚']","[165, 110, 250]"
讨,讠,209.6642,"['讠', '言']","[164, 106, 101]"
鞍,革,2.7556,['革'],"[165, 252, 235]"
夏,攵,132.7951,"['攴', '攵']","[13783, 237]"
全,入,943.6049,['入'],"[17739, 101]"
断,斤,276.8049,['斤'],"[23877, 255]"
宁,宀,127.6593,['宀'],"[22522, 223]"
浜,氵,0.8889,"['氺', '水', '氵']","[38184, 250]"
搀,扌,1.7086,"['扌', '手']","[162, 238, 222]"
奉,大,25.6741,['大'],"[25001, 231]"
忽,心,77.0321,"['心', '忄']","[161, 4204]"
吵,口,121.9654,"['囗', '口']","[28938, 113]"
烽,火,26.0494,"['火', '灬']","[163, 225, 121]"
燕,灬,32.1975,"['火', '灬']","[163, 229, 243]"
位,亻,752.7704,"['人', '亻']","[19526, 235]"
庚,广,23.0716,['广'],"[41753, 248]"
忍,心,163.5012,"['心', '忄']","[33232, 235]"
伏,亻,49.6296,"['人', '亻']","[27670, 237]"
零,雨,96.6272,['雨'],"[37239, 114]"
耶,耳,88.1235,['耳'],"[32003, 114]"
赢,贝,256.3556,"['貝', '贝']","[164, 113, 95]"
约,纟,266.6716,"['糸', '纟']","[163, 118, 99]"
落,艹,304.3951,['艹'],"[164, 238, 121]"
呃,口,123.0272,"['囗', '口']","[37772, 225]"
日,日,1612.6568,['日'],"[33768, 98]"
树,木,129.3185,['木'],"[43718, 239]"
寰,宀,1.9654,['宀'],"[43380, 108]"
山,山,517.916,['山'],"[161, 109, 109]"
示,示,194.8198,"['礻', '示']","[163, 97, 118]"
养,八,234.5778,"['丷', '八']","[17739, 119]"
眉,目,36.9185,['目'],"[40367, 231]"
牌,片,187.1951,['片'],"[31965, 234]"
量,里,446.3852,['里'],"[34932, 237]"
朴,木,20.4593,['木'],"[17312, 112]"
冲,冫,189.0864,['冫'],"[37863, 110]"
独,犭,199.9062,"['犬', '犭']","[45379, 105]"
憎,忄,10.9284,"['心', '忄']","[162, 228, 236]"
奸,女,54.6815,['女'],"[25001, 116]"
扰,扌,81.6642,"['扌', '手']","[33699, 108]"
低,亻,195.7284,"['人', '亻']","[19526, 236]"
祝,礻,589.5309,"['礻', '示']","[163, 98, 251]"
栋,木,13.2395,['木'],"[43718, 233]"
具,八,198.3704,"['丷', '八']","[17739, 115]"
测,氵,285.6395,"['氺', '水', '氵']","[38184, 233]"
赚,贝,74.0444,"['貝', '贝']","[164, 113, 248]"
截,戈,30.5333,['戈'],"[22755, 103]"
太,大,1577.2494,['大'],"[13783, 103]"
魔,鬼,235.1704,['鬼'],[20804]
根,木,245.7086,['木'],"[43718, 117]"
语,讠,510.3506,"['讠', '言']","[46237, 255]"
确,石,291.1753,['石'],"[163, 94, 106]"
离,禸,498.3852,['禸'],"[163, 99, 119]"
沓,水,1.4568,"['氺', '水', '氵']","[162, 110, 241]"
祥,礻,81.7778,"['礻', '示']","[163, 98, 98]"
例,亻,50.8296,"['人', '亻']","[160, 122, 233]"
何,亻,596.7111,"['人', '亻']","[19526, 243]"
区,匸,319.8667,['匸'],"[44293, 118]"
褒,衣,2.4988,"['衣', '衤']","[164, 97, 240]"
丹,丶,68.0198,['丶'],"[10310, 117]"
茁,艹,1.5802,['艹'],"[164, 234, 223]"
临,丨,149.8321,['丨'],"[10310, 112]"
榴,木,9.0123,['木'],"[162, 99, 112]"
刁,刀,4.7012,"['刂', '刀']","[26344, 223]"
连,辶,472.637,['辶'],"[32573, 252]"
凛,冫,2.0691,['冫'],"[49035, 249]"
冤,冖,21.9506,['冖'],"[37863, 97]"
纤,纟,16.2765,"['糸', '纟']","[163, 118, 97]"
疡,疒,5.2889,['疒'],"[163, 244, 94]"
产,亠,206.1037,['亠'],"[12859, 100]"
简,⺮,249.8173,"['⺮', '竹']","[163, 106, 222]"
冷,冫,471.7778,['冫'],"[37863, 115]"
畔,田,5.7432,['田'],"[45911, 242]"
丑,一,75.2,['一'],"[10310, 239]"
卞,卜,1.3778,['卜'],"[39355, 252]"
赦,赤,3.0716,['赤'],"[164, 113, 99]"
雅,隹,86.4593,['隹'],"[37239, 227]"
硕,石,10.163,['石'],"[163, 94, 243]"
妖,女,32.4,['女'],"[36685, 244]"
跷,足,2.4346,['足'],"[164, 115, 115]"
阵,阝,91.9605,"['邑', '阜', '阝']","[165, 246, 113]"
呢,口,1118.9432,"['囗', '口']","[37772, 95]"
个,丨,7489.5654,['丨'],"[10310, 103]"
浅,氵,37.0864,"['氺', '水', '氵']","[38184, 227]"
啥,口,163.6444,"['囗', '口']","[161, 243, 98]"
浴,氵,38.3309,"['氺', '水', '氵']","[38184, 112]"
缺,缶,127.2988,['缶'],"[163, 120, 118]"
谱,讠,43.2247,"['讠', '言']","[164, 108, 109]"
征,彳,62.6765,['彳'],"[36181, 223]"
刺,刂,148.0593,"['刂', '刀']","[26344, 118]"
漫,氵,205.5358,"['氺', '水', '氵']","[162, 120, 104]"
逆,辶,45.9901,['辶'],"[34460, 228]"
礼,礻,383.5556,"['礻', '示']","[163, 97, 120]"
翔,羽,46.9432,['羽'],"[163, 123, 242]"
识,讠,339.3975,"['讠', '言']","[46237, 228]"
学,子,1166.4395,['子'],"[27764, 99]"
占,卜,54.3901,['卜'],"[39355, 254]"
防,阝,131.1457,"['邑', '阜', '阝']","[165, 246, 110]"
赞,贝,100.3753,"['貝', '贝']","[164, 113, 252]"
蝎,虫,75.1704,['虫'],"[164, 251, 236]"
操,扌,127.7827,"['扌', '手']","[162, 241, 235]"
固,囗,50.0642,"['囗', '口']","[32368, 118]"
霉,雨,39.1951,['雨'],"[165, 250, 231]"
拔,扌,43.5111,"['扌', '手']","[162, 233, 242]"
漠,氵,28.7111,"['氺', '水', '氵']","[162, 120, 254]"
缩,纟,35.7383,"['糸', '纟']","[163, 120, 102]"
阁,门,16.2025,"['門', '门']","[165, 246, 223]"
镜,钅,116.5728,"['钅', '金']","[165, 243, 250]"
驱,马,18.1086,"['馬', '马']","[165, 102, 109]"
相,目,978.4642,['目'],"[33566, 116]"
站,立,339.9556,['立'],"[44165, 247]"
典,八,153.0914,"['丷', '八']","[17739, 116]"
壁,土,126.8049,['土'],"[18004, 223]"
侍,亻,5.3531,"['人', '亻']","[160, 122, 235]"
喜,口,1341.037,"['囗', '口']","[161, 244, 250]"
玺,玉,2.1975,"['王', '玉']","[163, 236, 118]"
埋,土,65.2889,['土'],"[161, 253, 233]"
括,扌,38.5185,"['扌', '手']","[162, 233, 105]"
城,土,634.2568,['土'],"[161, 253, 236]"
验,马,564.0,"['馬', '马']","[165, 103, 234]"
保,亻,533.3383,"['人', '亻']","[46479, 251]"
丁,一,65.2543,['一'],"[10310, 223]"
最,曰,2377.6494,['曰'],"[17312, 222]"
酵,酉,3.7679,['酉'],"[165, 227, 113]"
沾,氵,15.8617,"['氺', '水', '氵']","[162, 39333]"
丸,丶,31.4568,['丶'],"[10310, 116]"
笼,⺮,62.9481,"['⺮', '竹']","[163, 45539]"
燃,灬,36.637,"['火', '灬']","[163, 229, 225]"
憋,心,22.7358,"['心', '忄']","[162, 228, 233]"
罢,罒,38.6617,"['罒', '网']","[163, 121, 95]"
型,土,320.1037,['土'],"[161, 252, 233]"
推,扌,536.7704,"['扌', '手']","[162, 236, 101]"
车,车,1119.042,"['车', '車']","[164, 121, 99]"
许,讠,515.4519,"['讠', '言']","[164, 106, 116]"
获,艹,1759.7481,['艹'],"[164, 236, 115]"
脆,月,44.7358,['月'],"[164, 226, 228]"
悲,心,207.4469,"['心', '忄']","[162, 224, 110]"
书,乙,358.4346,"['乙', '乚', '乛']","[20046, 99]"
珞,王,4.5333,"['王', '玉']","[163, 237, 252]"
鱿,鱼,5.4469,"['鱼', '魚']","[165, 109, 123]"
恢,忄,34.6074,"['心', '忄']","[162, 223, 95]"
屏,尸,154.9877,['尸'],"[161, 109, 237]"
摄,扌,94.5728,"['扌', '手']","[162, 239, 226]"
嵌,山,3.5605,['山'],"[161, 113, 234]"
蜥,虫,1.6148,['虫'],"[164, 250, 98]"
管,⺮,509.9111,"['⺮', '竹']","[163, 106, 94]"
叔,又,98.0444,['又'],"[20998, 242]"
斟,斗,1.9852,['斗'],"[23877, 253]"
象,豕,272.1877,['豕'],"[164, 109, 94]"
骸,骨,3.0519,['骨'],"[165, 103, 116]"
憾,忄,53.284,"['心', '忄']","[162, 228, 122]"
呈,口,27.1556,"['囗', '口']","[37772, 230]"
欢,欠,1200.8889,['欠'],"[162, 105, 95]"
隔,阝,79.2247,"['邑', '阜', '阝']","[49694, 242]"
淌,氵,5.5358,"['氺', '水', '氵']","[162, 115, 234]"
麻,麻,366.3111,['麻'],"[165, 118, 119]"
味,口,394.3062,"['囗', '口']","[37772, 111]"
寓,宀,40.1975,['宀'],"[43380, 241]"
撼,扌,16.2321,"['扌', '手']","[162, 240, 120]"
狸,犭,17.5358,"['犬', '犭']","[45379, 116]"
泡,氵,124.7358,"['氺', '水', '氵']","[37345, 94]"
诡,讠,12.563,"['讠', '言']","[46237, 94]"
剐,刂,0.5432,"['刂', '刀']","[30298, 238]"
胆,月,57.9802,['月'],"[47797, 228]"
蹦,足,10.7062,['足'],"[164, 117, 99]"
妓,女,21.3086,['女'],"[36685, 241]"
工,工,730.3556,['工'],"[32432, 98]"
唱,口,285.9358,"['囗', '口']","[161, 242, 109]"
蚍,虫,0.0296,['虫'],"[164, 248, 235]"
狮,犭,92.0296,"['犬', '犭']","[45379, 106]"
幽,幺,67.3679,['幺'],"[33176, 121]"
斜,斗,14.2321,['斗'],"[23877, 250]"
障,阝,38.5284,"['邑', '阜', '阝']","[49694, 250]"
诊,讠,28.2716,"['讠', '言']","[46237, 232]"
功,力,425.3975,['力'],"[27950, 253]"
烬,火,1.4173,"['火', '灬']","[163, 225, 105]"
注,氵,500.4938,"['氺', '水', '氵']","[37345, 101]"
而,而,1295.5605,['而'],"[32003, 234]"
舌,舌,33.2988,['舌'],"[48958, 234]"
坠,土,14.3062,['土'],"[161, 251, 254]"
凋,冫,4.237,['冫'],"[49035, 233]"
犯,犭,158.4346,"['犬', '犭']","[163, 232, 107]"
谬,讠,6.716,"['讠', '言']","[164, 108, 105]"
物,牜,651.5556,"['牜', '牛']","[31965, 102]"
环,王,138.9679,"['王', '玉']","[163, 236, 107]"
旷,日,6.3704,['日'],"[33768, 115]"
酒,酉,559.1012,['酉'],"[165, 227, 240]"
晨,日,162.237,['日'],"[162, 247, 101]"
试,讠,1132.5037,"['讠', '言']","[46237, 243]"
替,曰,90.0099,['曰'],"[162, 249, 123]"
闹,门,156.7012,"['門', '门']","[29785, 117]"
蹊,足,1.2247,['足'],"[164, 117, 232]"
坛,土,32.5975,['土'],"[161, 251, 249]"
板,木,194.2815,['木'],"[30266, 123]"
助,力,383.7333,['力'],"[27950, 102]"
魂,鬼,121.2691,['鬼'],"[165, 255, 224]"
丢,丿,100.637,"['丿', '乀', '乁']","[10310, 95]"
函,凵,5.2,['凵'],"[49035, 121]"
跑,足,224.5235,['足'],"[164, 115, 239]"
刮,刂,33.5012,"['刂', '刀']","[26344, 106]"
鼻,鼻,73.8667,['鼻'],"[165, 120, 119]"
贺,贝,92.6963,"['貝', '贝']","[164, 112, 118]"
熄,火,6.6864,"['火', '灬']","[163, 228, 226]"
届,尸,24.8444,['尸'],"[161, 109, 232]"
拍,扌,286.2963,"['扌', '手']","[162, 233, 235]"
祛,礻,8.9877,"['礻', '示']","[163, 98, 249]"
旁,方,102.7852,['方'],"[33768, 223]"
双,又,353.6099,['又'],"[20998, 234]"
巨,工,144.1679,['工'],"[32432, 101]"
软,车,96.2617,"['车', '車']","[164, 121, 107]"
欺,欠,56.0889,['欠'],"[162, 105, 118]"
帕,巾,26.2568,['巾'],"[30585, 243]"
本,木,868.2963,['木'],"[17312, 105]"
华,十,262.1531,['十'],"[39355, 236]"
遐,辶,1.837,['辶'],"[34402, 238]"
晚,日,1634.5432,['日'],"[162, 247, 248]"
再,冂,1282.6321,['冂'],"[37863, 235]"
窠,穴,0.0642,['穴'],"[163, 103, 254]"
进,辶,749.116,['辶'],"[32573, 249]"
颤,页,15.8667,"['頁', '页']","[165, 95, 97]"
佃,亻,0.1481,"['人', '亻']","[19526, 225]"
炼,火,36.0,"['火', '灬']","[163, 224, 120]"
忙,忄,312.8494,"['心', '忄']","[33232, 247]"
逐,辶,41.3235,['辶'],"[34460, 238]"
岩,山,31.1753,['山'],"[161, 110, 102]"
枫,木,5.9556,['木'],"[162, 252, 104]"
鞭,革,135.3679,['革'],"[165, 252, 255]"
祷,礻,34.158,"['礻', '示']","[163, 98, 115]"
女,女,1951.4765,['女'],[42637]
笨,⺮,55.7136,"['⺮', '竹']","[163, 105, 101]"
遏,辶,1.4123,['辶'],"[34402, 237]"
刀,刀,138.0691,"['刂', '刀']","[26344, 222]"
厢,厂,19.363,['厂'],"[43889, 95]"
奏,大,37.0815,['大'],"[25001, 237]"
咽,口,13.8321,"['囗', '口']","[161, 240, 121]"
迟,辶,87.442,['辶'],"[32573, 253]"
丧,一,26.0099,['一'],"[10310, 100]"
戎,戈,1.2148,['戈'],"[22755, 236]"
衫,衤,56.4593,"['衣', '衤']","[26193, 104]"
幡,巾,0.6123,['巾'],"[33176, 94]"
怠,心,3.7284,"['心', '忄']","[45250, 254]"
冗,冖,1.2395,['冖'],"[37863, 245]"
稿,禾,21.0617,['禾'],"[163, 101, 123]"
唯,口,136.0593,"['囗', '口']","[161, 242, 107]"
辐,车,9.6543,"['车', '車']","[164, 122, 238]"
糜,米,1.6346,['米'],"[163, 111, 250]"
宛,宀,4.6667,['宀'],"[22522, 249]"
曝,日,20.158,['日'],"[162, 249, 251]"
钮,钅,6.5679,"['钅', '金']","[165, 240, 106]"
陪,阝,263.5506,"['邑', '阜', '阝']","[165, 247, 103]"
灿,火,52.5432,"['火', '灬']","[163, 223, 123]"
妻,女,115.0173,['女'],"[36685, 119]"
辫,辛,4.1679,['辛'],"[164, 122, 104]"
虱,虫,3.7481,['虫'],"[164, 247, 109]"
秋,禾,114.4395,['禾'],"[163, 100, 233]"
潮,氵,136.9877,"['氺', '水', '氵']","[162, 121, 106]"
邂,辶,8.1531,['辶'],"[165, 224, 224]"
江,氵,195.4815,"['氺', '水', '氵']","[162, 109, 253]"
裙,衤,51.9358,"['衣', '衤']","[32518, 247]"
瞎,目,32.958,['目'],"[163, 252, 236]"
于,二,1320.8988,['二'],"[12859, 236]"
处,夂,470.1136,['夂'],"[13783, 226]"
采,釆,67.7333,['釆'],"[34932, 229]"
饥,饣,11.9062,"['飠', '饣', '食']","[165, 98, 98]"
匪,匚,37.5951,['匚'],"[44293, 103]"
陶,阝,17.0519,"['邑', '阜', '阝']","[165, 247, 114]"
孚,子,0.9086,['子'],"[27764, 248]"
意,心,1521.0864,"['心', '忄']","[35707, 237]"
哼,口,43.9802,"['囗', '口']","[161, 241, 120]"
密,宀,244.2469,['宀'],"[43380, 228]"
阴,阝,112.6469,"['邑', '阜', '阝']","[165, 246, 112]"
嗙,口,0.1333,"['囗', '口']","[161, 245, 247]"
各,口,513.0815,"['囗', '口']","[28938, 226]"
史,口,143.3037,"['囗', '口']","[20998, 110]"
搁,扌,7.4222,"['扌', '手']","[162, 238, 223]"
式,弋,461.0321,['弋'],"[28156, 237]"
滕,水,2.1679,"['氺', '水', '氵']","[162, 119, 243]"
鄙,阝,23.6,"['邑', '阜', '阝']","[165, 226, 247]"
势,力,111.9654,['力'],"[27950, 123]"
圈,囗,105.4222,"['囗', '口']","[28839, 230]"
暗,日,151.0222,['日'],"[162, 248, 245]"
锐,钅,10.8346,"['钅', '金']","[165, 242, 238]"
念,心,338.5432,"['心', '忄']","[33232, 113]"
稚,禾,23.437,['禾'],"[163, 101, 248]"
控,扌,176.9037,"['扌', '手']","[162, 236, 100]"
衍,行,6.5284,['行'],"[26193, 235]"
决,冫,336.3654,['冫'],"[37863, 111]"
才,扌,1072.0691,"['扌', '手']","[33699, 235]"
欸,欠,1.5111,['欠'],"[162, 105, 116]"
影,彡,594.9333,['彡'],"[37605, 109]"
联,耳,293.8765,['耳'],"[164, 223, 242]"
林,木,222.0593,['木'],"[162, 252, 245]"
搞,扌,334.8938,"['扌', '手']","[162, 238, 252]"
惯,忄,140.4148,"['心', '忄']","[46349, 107]"
锡,钅,13.5457,"['钅', '金']","[165, 242, 94]"
桥,木,62.0148,['木'],"[162, 94, 98]"
抗,扌,77.8173,"['扌', '手']","[162, 232, 245]"
顺,页,260.5531,"['頁', '页']","[165, 94, 118]"
垂,土,13.8914,['土'],"[161, 252, 224]"
兴,八,315.6148,"['丷', '八']","[17739, 112]"
敲,攴,39.5605,"['攴', '攵']","[46763, 110]"
扎,扌,58.6519,"['扌', '手']","[33699, 236]"
胎,月,46.2123,['月'],"[47797, 236]"
摆,扌,81.684,"['扌', '手']","[162, 239, 228]"
嗄,口,0.7605,"['囗', '口']","[161, 245, 226]"
擤,扌,0.558,"['扌', '手']","[162, 241, 97]"
绰,纟,2.8346,"['糸', '纟']","[163, 119, 108]"
买,乙,644.9136,"['乙', '乚', '乛']","[20046, 108]"
噘,口,0.2667,"['囗', '口']","[161, 247, 246]"
催,亻,63.6988,"['人', '亻']","[161, 8955]"
僧,亻,12.8247,"['人', '亻']","[161, 225, 100]"
把,扌,1407.6,"['扌', '手']","[162, 232, 232]"
睾,目,1.9753,['目'],"[163, 251, 122]"
李,木,194.5975,['木'],"[30266, 236]"
寝,宀,9.5951,['宀'],"[43380, 251]"
榛,木,2.3457,['木'],"[162, 99, 249]"
妄,女,13.1704,['女'],"[36685, 226]"
寄,宀,41.2889,['宀'],"[43380, 226]"
颀,页,0.0938,"['頁', '页']","[165, 95, 222]"
饭,饣,529.758,"['飠', '饣', '食']","[165, 98, 255]"
佣,亻,8.9827,"['人', '亻']","[19526, 96]"
像,亻,873.1012,"['人', '亻']","[161, 225, 237]"
攥,扌,1.1259,"['扌', '手']","[162, 242, 98]"
箩,⺮,1.037,"['⺮', '竹']","[163, 106, 102]"
频,页,160.3704,"['頁', '页']","[165, 95, 239]"
盖,皿,83.837,['皿'],"[33566, 244]"
剖,刂,6.8,"['刂', '刀']","[30298, 244]"
逸,辶,20.9531,['辶'],"[34460, 116]"
命,口,482.2568,"['囗', '口']","[37772, 121]"
继,纟,296.8296,"['糸', '纟']","[163, 119, 100]"
茶,艹,202.9235,['艹'],"[164, 234, 114]"
启,口,72.7605,"['囗', '口']","[28938, 107]"
账,贝,45.4667,"['貝', '贝']","[164, 112, 99]"
斧,斤,3.7136,['斤'],"[23877, 100]"
辩,辛,24.2815,['辛'],"[164, 122, 102]"
烛,火,17.358,"['火', '灬']","[163, 225, 249]"
羁,罒,4.1136,"['罒', '网']","[163, 122, 223]"
待,彳,439.4222,['彳'],"[36181, 227]"
袄,衤,5.1259,"['衣', '衤']","[164, 95, 226]"
为,丶,3587.5951,['丶'],"[10310, 118]"
掌,手,136.2173,"['扌', '手']","[162, 236, 234]"
洞,氵,52.9284,"['氺', '水', '氵']","[162, 112, 252]"
赋,贝,16.3556,"['貝', '贝']","[164, 113, 233]"
荫,艹,2.4494,['艹'],"[164, 235, 104]"
敏,攵,72.7309,"['攴', '攵']","[46763, 237]"
谜,讠,11.042,"['讠', '言']","[164, 108, 250]"
令,人,154.9333,"['人', '亻']","[20015, 97]"
邮,阝,66.7951,"['邑', '阜', '阝']","[165, 224, 106]"
鱼,鱼,304.5037,"['鱼', '魚']","[165, 109, 120]"
强,弓,480.9877,['弓'],"[28156, 118]"
止,止,186.321,['止'],"[29826, 95]"
扣,扌,53.2691,"['扌', '手']","[33699, 96]"
航,舟,137.9012,['舟'],"[48958, 103]"
棍,木,22.7506,['木'],"[162, 96, 235]"
瞳,目,9.8716,['目'],"[163, 252, 111]"
羞,羊,32.0296,['羊'],"[163, 122, 252]"
叫,口,610.9037,"['囗', '口']","[20998, 104]"
跌,足,40.3951,['足'],"[164, 115, 234]"
列,刂,138.3704,"['刂', '刀']","[26344, 245]"
肴,月,2.8543,['月'],"[164, 224, 112]"
厉,厂,58.4988,['厂'],"[43889, 231]"
肖,月,27.6346,['月'],"[164, 224, 244]"
事,亅,2513.6148,['亅'],"[12859, 233]"
桑,木,48.4198,['木'],"[162, 94, 239]"
纪,纟,125.6049,"['糸', '纟']","[163, 118, 103]"
戏,戈,507.037,['戈'],"[22755, 237]"
孽,子,22.7802,['子'],"[27764, 121]"
疥,疒,0.1136,['疒'],"[163, 244, 98]"
震,雨,74.2716,['雨'],"[165, 250, 229]"
镶,钅,3.8025,"['钅', '金']","[165, 243, 114]"
洽,氵,3.4321,"['氺', '水', '氵']","[162, 112, 121]"
庆,广,126.3556,['广'],"[41753, 228]"
统,纟,183.0074,"['糸', '纟']","[163, 119, 253]"
跳,足,171.7481,['足'],"[164, 115, 111]"
茫,艹,41.7531,['艹'],"[164, 234, 104]"
扯,扌,38.2469,"['扌', '手']","[33699, 107]"
靥,面,0.8543,['面'],"[165, 251, 98]"
息,心,446.6963,"['心', '忄']","[162, 223, 107]"
渣,氵,18.2765,"['氺', '水', '氵']","[162, 116, 96]"
郎,阝,78.1284,"['邑', '阜', '阝']","[32849, 236]"
坐,土,332.4494,['土'],"[161, 251, 238]"
四,囗,510.7704,"['囗', '口']","[32368, 249]"
称,禾,145.3284,['禾'],"[163, 100, 108]"
贴,贝,111.7432,"['貝', '贝']","[164, 112, 112]"
缓,纟,45.9012,"['糸', '纟']","[163, 120, 241]"
昱,日,0.5383,['日'],"[23626, 109]"
敌,攵,93.0716,"['攴', '攵']","[46763, 234]"
辱,辰,52.3951,['辰'],"[164, 122, 109]"
在,土,8861.0963,['土'],"[28839, 101]"
街,行,286.8049,['行'],"[26193, 245]"
类,米,193.0025,['米'],"[163, 109, 119]"
界,田,590.2272,['田'],"[45911, 234]"
吟,口,8.0,"['囗', '口']","[28938, 253]"
仔,亻,153.4074,"['人', '亻']","[20015, 242]"
劝,力,16.0198,['力'],"[27950, 251]"
钱,钅,666.7556,"['钅', '金']","[165, 240, 109]"
斥,斤,11.3037,['斤'],"[23877, 98]"
虹,虫,34.8691,['虫'],"[164, 247, 117]"
八,八,255.2296,"['丷', '八']","[17739, 104]"
叨,口,16.4988,"['囗', '口']","[20998, 101]"
堆,土,73.5259,['土'],"[161, 254, 228]"
想,心,4461.0864,"['心', '忄']","[46349, 111]"
抹,扌,35.1309,"['扌', '手']","[162, 232, 117]"
茱,艹,2.4,['艹'],"[164, 234, 109]"
舒,舌,146.6519,['舌'],"[164, 7134]"
谋,讠,66.2716,"['讠', '言']","[164, 108, 233]"
铜,钅,24.6568,"['钅', '金']","[165, 241, 250]"
纨,糸,0.4395,"['糸', '纟']","[163, 118, 101]"
苗,艹,15.1111,['艹'],"[164, 233, 245]"
奔,大,132.8296,['大'],"[25001, 242]"
醒,酉,466.9531,['酉'],"[165, 10253]"
泷,氵,0.9037,"['氺', '水', '氵']","[37345, 115]"
执,扌,100.5086,"['扌', '手']","[33699, 100]"
鼓,鼓,91.8173,['鼓'],"[165, 120, 241]"
积,禾,115.837,['禾'],"[163, 100, 107]"
馊,饣,0.9383,"['飠', '饣', '食']","[165, 99, 232]"
范,艹,79.5852,['艹'],"[164, 234, 225]"
庶,广,0.8247,['广'],"[41753, 114]"
凭,几,46.0691,['几'],"[49035, 255]"
脾,月,52.242,['月'],"[164, 226, 122]"
狡,犭,4.9037,"['犬', '犭']","[45379, 94]"
底,广,438.5926,['广'],"[41753, 243]"
竭,立,10.084,['立'],"[44165, 255]"
腋,月,1.4272,['月'],"[164, 26534]"
利,刂,668.9926,"['刂', '刀']","[26344, 102]"
慰,心,56.6963,"['心', '忄']","[162, 227, 108]"
愚,心,30.8938,"['心', '忄']","[35707, 248]"
符,⺮,28.7259,"['⺮', '竹']","[163, 105, 99]"
跨,足,33.4765,['足'],"[164, 115, 101]"
栈,木,26.9926,['木'],"[43718, 230]"
寿,寸,48.0247,['寸'],"[43380, 123]"
栗,木,8.6963,['木'],"[43718, 245]"
因,囗,1034.884,"['囗', '口']","[32368, 254]"
脚,月,215.7383,['月'],"[164, 226, 248]"
身,身,1181.5309,['身'],"[164, 118, 104]"
糗,米,6.4741,['米'],"[163, 111, 245]"
摘,扌,36.4642,"['扌', '手']","[162, 239, 246]"
恶,心,235.9358,"['心', '忄']","[162, 223, 114]"
器,口,246.3259,"['囗', '口']","[161, 247, 101]"
绕,纟,38.2815,"['糸', '纟']","[163, 119, 243]"
央,大,91.9556,['大'],"[13783, 106]"
次,欠,1271.1259,['欠'],"[162, 105, 94]"
凑,冫,22.8642,['冫'],"[49035, 239]"
悖,忄,1.1062,"['心', '忄']","[162, 224, 244]"
歼,歹,11.1556,['歹'],"[29826, 120]"
挂,扌,153.679,"['扌', '手']","[162, 234, 224]"
图,囗,834.237,"['囗', '口']","[32368, 122]"
坪,土,6.4988,['土'],"[161, 251, 103]"
北,匕,345.1309,['匕'],"[44293, 245]"
宾,宀,47.5605,['宀'],"[22522, 122]"
涂,氵,60.0938,"['氺', '水', '氵']","[162, 114, 224]"
映,日,38.6667,['日'],"[23626, 254]"
节,艹,664.2123,['艹'],"[164, 232, 224]"
锄,钅,6.484,"['钅', '金']","[165, 242, 226]"
勇,力,140.7605,['力'],"[47947, 229]"
淡,氵,160.9926,"['氺', '水', '氵']","[162, 115, 94]"
僻,亻,4.8889,"['人', '亻']","[161, 225, 119]"
种,禾,1067.4716,['禾'],"[163, 100, 235]"
卫,卩,157.3531,['卩'],"[39355, 104]"
候,亻,1091.6099,"['人', '亻']","[161, 222, 247]"
绵,纟,29.2198,"['糸', '纟']","[163, 119, 113]"
淮,氵,7.2099,"['氺', '水', '氵']","[162, 115, 106]"
